q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.0,0.0,0.0,4.3279,4.3472,"q=(0.0, 0.0, 0.0, 0.0)"
0.0,0.0,0.0,0.01,4.2717,4.4016,"q=(0.0, 0.0, 0.0, 0.01)"
0.0,0.0,0.0,0.02,4.2163,4.4562,"q=(0.0, 0.0, 0.0, 0.02)"
0.0,0.0,0.0,0.03,4.1616,4.511,"q=(0.0, 0.0, 0.0, 0.03)"
0.0,0.0,0.0,0.04,4.1078,4.566,"q=(0.0, 0.0, 0.0, 0.04)"
0.0,0.0,0.0,0.05,4.0545,4.6212,"q=(0.0, 0.0, 0.0, 0.05)"
0.0,0.0,0.0,0.06,4.002,4.6766,"q=(0.0, 0.0, 0.0, 0.06)"
0.0,0.0,0.0,0.07,3.9503,4.7321,"q=(0.0, 0.0, 0.0, 0.07)"
0.0,0.0,0.0,0.08,3.8994,4.788,"q=(0.0, 0.0, 0.0, 0.08)"
0.0,0.0,0.01,0.0,4.2607,4.4093,"q=(0.0, 0.0, 0.01, 0.0)"
0.0,0.0,0.01,0.01,4.2051,4.4642,"q=(0.0, 0.0, 0.01, 0.01)"
0.0,0.0,0.01,0.02,4.1503,4.5194,"q=(0.0, 0.0, 0.01, 0.02)"
0.0,0.0,0.01,0.03,4.0962,4.5748,"q=(0.0, 0.0, 0.01, 0.03)"
0.0,0.0,0.01,0.04,4.0428,4.6303,"q=(0.0, 0.0, 0.01, 0.04)"
0.0,0.0,0.01,0.05,3.9902,4.6861,"q=(0.0, 0.0, 0.01, 0.05)"
0.0,0.0,0.01,0.06,3.9383,4.7421,"q=(0.0, 0.0, 0.01, 0.06)"
0.0,0.0,0.01,0.07,3.8872,4.7983,"q=(0.0, 0.0, 0.01, 0.07)"
0.0,0.0,0.01,0.08,3.8368,4.8547,"q=(0.0, 0.0, 0.01, 0.08)"
0.0,0.0,0.02,0.0,4.1946,4.4717,"q=(0.0, 0.0, 0.02, 0.0)"
0.0,0.0,0.02,0.01,4.1395,4.5273,"q=(0.0, 0.0, 0.02, 0.01)"
0.0,0.0,0.02,0.02,4.0853,4.583,"q=(0.0, 0.0, 0.02, 0.02)"
0.0,0.0,0.02,0.03,4.0317,4.6389,"q=(0.0, 0.0, 0.02, 0.03)"
0.0,0.0,0.02,0.04,3.9789,4.695,"q=(0.0, 0.0, 0.02, 0.04)"
0.0,0.0,0.02,0.05,3.9269,4.7514,"q=(0.0, 0.0, 0.02, 0.05)"
0.0,0.0,0.02,0.06,3.8756,4.808,"q=(0.0, 0.0, 0.02, 0.06)"
0.0,0.0,0.02,0.07,3.8251,4.8648,"q=(0.0, 0.0, 0.02, 0.07)"
0.0,0.0,0.02,0.08,3.7752,4.9217,"q=(0.0, 0.0, 0.02, 0.08)"
0.0,0.0,0.03,0.0,4.1294,4.5346,"q=(0.0, 0.0, 0.03, 0.0)"
0.0,0.0,0.03,0.01,4.075,4.5907,"q=(0.0, 0.0, 0.03, 0.01)"
0.0,0.0,0.03,0.02,4.0213,4.647,"q=(0.0, 0.0, 0.03, 0.02)"
0.0,0.0,0.03,0.03,3.9682,4.7034,"q=(0.0, 0.0, 0.03, 0.03)"
0.0,0.0,0.03,0.04,3.9161,4.7602,"q=(0.0, 0.0, 0.03, 0.04)"
0.0,0.0,0.03,0.05,3.8647,4.8172,"q=(0.0, 0.0, 0.03, 0.05)"
0.0,0.0,0.03,0.06,3.8139,4.8743,"q=(0.0, 0.0, 0.03, 0.06)"
0.0,0.0,0.03,0.07,3.7639,4.9316,"q=(0.0, 0.0, 0.03, 0.07)"
0.0,0.0,0.03,0.08,3.7145,4.989,"q=(0.0, 0.0, 0.03, 0.08)"
0.0,0.0,0.04,0.0,4.0653,4.5978,"q=(0.0, 0.0, 0.04, 0.0)"
0.0,0.0,0.04,0.01,4.0114,4.6544,"q=(0.0, 0.0, 0.04, 0.01)"
0.0,0.0,0.04,0.02,3.9582,4.7113,"q=(0.0, 0.0, 0.04, 0.02)"
0.0,0.0,0.04,0.03,3.9059,4.7684,"q=(0.0, 0.0, 0.04, 0.03)"
0.0,0.0,0.04,0.04,3.8543,4.8257,"q=(0.0, 0.0, 0.04, 0.04)"
0.0,0.0,0.04,0.05,3.8033,4.8832,"q=(0.0, 0.0, 0.04, 0.05)"
0.0,0.0,0.04,0.06,3.7531,4.9408,"q=(0.0, 0.0, 0.04, 0.06)"
0.0,0.0,0.04,0.07,3.7035,4.9986,"q=(0.0, 0.0, 0.04, 0.07)"
0.0,0.0,0.04,0.08,3.6545,5.0563,"q=(0.0, 0.0, 0.04, 0.08)"
0.0,0.0,0.05,0.0,4.0021,4.6613,"q=(0.0, 0.0, 0.05, 0.0)"
0.0,0.0,0.05,0.01,3.9487,4.7186,"q=(0.0, 0.0, 0.05, 0.01)"
0.0,0.0,0.05,0.02,3.8962,4.7761,"q=(0.0, 0.0, 0.05, 0.02)"
0.0,0.0,0.05,0.03,3.8444,4.8337,"q=(0.0, 0.0, 0.05, 0.03)"
0.0,0.0,0.05,0.04,3.7933,4.8915,"q=(0.0, 0.0, 0.05, 0.04)"
0.0,0.0,0.05,0.05,3.7429,4.9495,"q=(0.0, 0.0, 0.05, 0.05)"
0.0,0.0,0.05,0.06,3.6931,5.0076,"q=(0.0, 0.0, 0.05, 0.06)"
0.0,0.0,0.05,0.07,3.6439,5.0657,"q=(0.0, 0.0, 0.05, 0.07)"
0.0,0.0,0.05,0.08,3.5952,5.1238,"q=(0.0, 0.0, 0.05, 0.08)"
0.0,0.0,0.06,0.0,3.9399,4.7252,"q=(0.0, 0.0, 0.06, 0.0)"
0.0,0.0,0.06,0.01,3.8872,4.7831,"q=(0.0, 0.0, 0.06, 0.01)"
0.0,0.0,0.06,0.02,3.8352,4.8411,"q=(0.0, 0.0, 0.06, 0.02)"
0.0,0.0,0.06,0.03,3.7839,4.8993,"q=(0.0, 0.0, 0.06, 0.03)"
0.0,0.0,0.06,0.04,3.7333,4.9576,"q=(0.0, 0.0, 0.06, 0.04)"
0.0,0.0,0.06,0.05,3.6833,5.016,"q=(0.0, 0.0, 0.06, 0.05)"
