q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.0,0.0,0.0,4.3228,4.3025,"q=(0.0, 0.0, 0.0, 0.0)"
0.0,0.0,0.0,0.01,4.3384,4.468,"q=(0.0, 0.0, 0.0, 0.01)"
0.0,0.0,0.0,0.02,4.2142,4.4421,"q=(0.0, 0.0, 0.0, 0.02)"
0.0,0.0,0.0,0.03,4.1526,4.5012,"q=(0.0, 0.0, 0.0, 0.03)"
0.0,0.0,0.0,0.04,4.0572,4.6769,"q=(0.0, 0.0, 0.0, 0.04)"
0.0,0.0,0.0,0.05,3.9707,4.606,"q=(0.0, 0.0, 0.0, 0.05)"
0.0,0.0,0.0,0.06,3.8947,4.7291,"q=(0.0, 0.0, 0.0, 0.06)"
0.0,0.0,0.0,0.07,3.9862,4.7168,"q=(0.0, 0.0, 0.0, 0.07)"
0.0,0.0,0.0,0.08,3.7623,4.8342,"q=(0.0, 0.0, 0.0, 0.08)"
0.0,0.0,0.01,0.0,4.0884,4.488,"q=(0.0, 0.0, 0.01, 0.0)"
0.0,0.0,0.01,0.01,4.1115,4.5245,"q=(0.0, 0.0, 0.01, 0.01)"
0.0,0.0,0.01,0.02,4.1236,4.5443,"q=(0.0, 0.0, 0.01, 0.02)"
0.0,0.0,0.01,0.03,4.1999,4.5797,"q=(0.0, 0.0, 0.01, 0.03)"
0.0,0.0,0.01,0.04,4.0196,4.6137,"q=(0.0, 0.0, 0.01, 0.04)"
0.0,0.0,0.01,0.05,3.9591,4.6524,"q=(0.0, 0.0, 0.01, 0.05)"
0.0,0.0,0.01,0.06,3.8141,4.8626,"q=(0.0, 0.0, 0.01, 0.06)"
0.0,0.0,0.01,0.07,3.7797,4.9243,"q=(0.0, 0.0, 0.01, 0.07)"
0.0,0.0,0.01,0.08,3.7548,4.8553,"q=(0.0, 0.0, 0.01, 0.08)"
0.0,0.0,0.02,0.0,4.228,4.3755,"q=(0.0, 0.0, 0.02, 0.0)"
0.0,0.0,0.02,0.01,4.2001,4.6072,"q=(0.0, 0.0, 0.02, 0.01)"
0.0,0.0,0.02,0.02,4.0983,4.4851,"q=(0.0, 0.0, 0.02, 0.02)"
0.0,0.0,0.02,0.03,4.0576,4.6477,"q=(0.0, 0.0, 0.02, 0.03)"
0.0,0.0,0.02,0.04,3.8695,4.7312,"q=(0.0, 0.0, 0.02, 0.04)"
0.0,0.0,0.02,0.05,3.9107,4.7921,"q=(0.0, 0.0, 0.02, 0.05)"
0.0,0.0,0.02,0.06,3.8296,4.8852,"q=(0.0, 0.0, 0.02, 0.06)"
0.0,0.0,0.02,0.07,3.8266,4.8789,"q=(0.0, 0.0, 0.02, 0.07)"
0.0,0.0,0.02,0.08,3.7086,4.935,"q=(0.0, 0.0, 0.02, 0.08)"
0.0,0.0,0.03,0.0,4.0574,4.5887,"q=(0.0, 0.0, 0.03, 0.0)"
0.0,0.0,0.03,0.01,3.8952,4.6545,"q=(0.0, 0.0, 0.03, 0.01)"
0.0,0.0,0.03,0.02,4.1053,4.6628,"q=(0.0, 0.0, 0.03, 0.02)"
0.0,0.0,0.03,0.03,3.9944,4.7046,"q=(0.0, 0.0, 0.03, 0.03)"
0.0,0.0,0.03,0.04,3.8896,4.7702,"q=(0.0, 0.0, 0.03, 0.04)"
0.0,0.0,0.03,0.05,3.867,4.6778,"q=(0.0, 0.0, 0.03, 0.05)"
0.0,0.0,0.03,0.06,3.7476,4.9158,"q=(0.0, 0.0, 0.03, 0.06)"
0.0,0.0,0.03,0.07,3.8417,4.8407,"q=(0.0, 0.0, 0.03, 0.07)"
0.0,0.0,0.03,0.08,3.5645,5.1189,"q=(0.0, 0.0, 0.03, 0.08)"
0.0,0.0,0.04,0.0,4.0461,4.6568,"q=(0.0, 0.0, 0.04, 0.0)"
0.0,0.0,0.04,0.01,4.0388,4.7307,"q=(0.0, 0.0, 0.04, 0.01)"
0.0,0.0,0.04,0.02,3.9582,4.68,"q=(0.0, 0.0, 0.04, 0.02)"
0.0,0.0,0.04,0.03,3.9223,4.7458,"q=(0.0, 0.0, 0.04, 0.03)"
0.0,0.0,0.04,0.04,3.9568,4.7509,"q=(0.0, 0.0, 0.04, 0.04)"
0.0,0.0,0.04,0.05,3.7373,4.974,"q=(0.0, 0.0, 0.04, 0.05)"
0.0,0.0,0.04,0.06,3.7014,5.0486,"q=(0.0, 0.0, 0.04, 0.06)"
0.0,0.0,0.04,0.07,3.6986,4.9943,"q=(0.0, 0.0, 0.04, 0.07)"
0.0,0.0,0.04,0.08,3.4869,5.0366,"q=(0.0, 0.0, 0.04, 0.08)"
0.0,0.0,0.05,0.0,4.0585,4.6258,"q=(0.0, 0.0, 0.05, 0.0)"
0.0,0.0,0.05,0.01,3.9742,4.7564,"q=(0.0, 0.0, 0.05, 0.01)"
0.0,0.0,0.05,0.02,3.9219,4.7403,"q=(0.0, 0.0, 0.05, 0.02)"
0.0,0.0,0.05,0.03,3.8023,4.854,"q=(0.0, 0.0, 0.05, 0.03)"
0.0,0.0,0.05,0.04,3.645,5.0133,"q=(0.0, 0.0, 0.05, 0.04)"
0.0,0.0,0.05,0.05,3.8027,4.9158,"q=(0.0, 0.0, 0.05, 0.05)"
0.0,0.0,0.05,0.06,3.4953,5.1159,"q=(0.0, 0.0, 0.05, 0.06)"
0.0,0.0,0.05,0.07,3.4931,5.2425,"q=(0.0, 0.0, 0.05, 0.07)"
0.0,0.0,0.05,0.08,3.4954,5.1928,"q=(0.0, 0.0, 0.05, 0.08)"
0.0,0.0,0.06,0.0,3.8545,4.7733,"q=(0.0, 0.0, 0.06, 0.0)"
0.0,0.0,0.06,0.01,3.9063,4.7604,"q=(0.0, 0.0, 0.06, 0.01)"
0.0,0.0,0.06,0.02,3.7342,4.8381,"q=(0.0, 0.0, 0.06, 0.02)"
0.0,0.0,0.06,0.03,3.7052,4.9757,"q=(0.0, 0.0, 0.06, 0.03)"
0.0,0.0,0.06,0.04,3.7356,4.997,"q=(0.0, 0.0, 0.06, 0.04)"
0.0,0.0,0.06,0.05,3.6614,5.1001,"q=(0.0, 0.0, 0.06, 0.05)"
0.0,0.0,0.06,0.06,3.5873,5.1286,"q=(0.0, 0.0, 0.06, 0.06)"
0.0,0.0,0.06,0.07,3.4374,5.1809,"q=(0.0, 0.0, 0.06, 0.07)"
0.0,0.0,0.06,0.08,3.5011,5.1976,"q=(0.0, 0.0, 0.06, 0.08)"
0.0,0.0,0.07,0.0,3.9475,4.7824,"q=(0.0, 0.0, 0.07, 0.0)"
0.0,0.0,0.07,0.01,3.7808,4.8206,"q=(0.0, 0.0, 0.07, 0.01)"
0.0,0.0,0.07,0.02,3.6612,5.0302,"q=(0.0, 0.0, 0.07, 0.02)"
0.0,0.0,0.07,0.03,3.7641,4.9155,"q=(0.0, 0.0, 0.07, 0.03)"
0.0,0.0,0.07,0.04,3.4547,5.1313,"q=(0.0, 0.0, 0.07, 0.04)"
0.0,0.0,0.07,0.05,3.6405,5.0104,"q=(0.0, 0.0, 0.07, 0.05)"
0.0,0.0,0.07,0.06,3.6114,5.1296,"q=(0.0, 0.0, 0.07, 0.06)"
0.0,0.0,0.07,0.07,3.4263,5.2398,"q=(0.0, 0.0, 0.07, 0.07)"
0.0,0.0,0.07,0.08,3.3778,5.3486,"q=(0.0, 0.0, 0.07, 0.08)"
0.0,0.0,0.08,0.0,3.766,4.9182,"q=(0.0, 0.0, 0.08, 0.0)"
0.0,0.0,0.08,0.01,3.8476,4.787,"q=(0.0, 0.0, 0.08, 0.01)"
0.0,0.0,0.08,0.02,3.679,4.9434,"q=(0.0, 0.0, 0.08, 0.02)"
0.0,0.0,0.08,0.03,3.6636,5.0786,"q=(0.0, 0.0, 0.08, 0.03)"
0.0,0.0,0.08,0.04,3.6835,4.9779,"q=(0.0, 0.0, 0.08, 0.04)"
0.0,0.0,0.08,0.05,3.6005,5.0822,"q=(0.0, 0.0, 0.08, 0.05)"
0.0,0.0,0.08,0.06,3.5981,5.1775,"q=(0.0, 0.0, 0.08, 0.06)"
0.0,0.0,0.08,0.07,3.3977,5.3719,"q=(0.0, 0.0, 0.08, 0.07)"
0.0,0.0,0.08,0.08,3.4093,5.2996,"q=(0.0, 0.0, 0.08, 0.08)"
0.0,0.01,0.0,0.0,4.3172,4.376,"q=(0.0, 0.01, 0.0, 0.0)"
0.0,0.01,0.0,0.01,4.1599,4.5152,"q=(0.0, 0.01, 0.0, 0.01)"
0.0,0.01,0.0,0.02,4.306,4.4641,"q=(0.0, 0.01, 0.0, 0.02)"
0.0,0.01,0.0,0.03,4.0989,4.5593,"q=(0.0, 0.01, 0.0, 0.03)"
0.0,0.01,0.0,0.04,4.0679,4.6882,"q=(0.0, 0.01, 0.0, 0.04)"
0.0,0.01,0.0,0.05,3.9824,4.619,"q=(0.0, 0.01, 0.0, 0.05)"
0.0,0.01,0.0,0.06,3.9642,4.6717,"q=(0.0, 0.01, 0.0, 0.06)"
0.0,0.01,0.0,0.07,3.8343,4.8017,"q=(0.0, 0.01, 0.0, 0.07)"
0.0,0.01,0.0,0.08,3.7787,4.8563,"q=(0.0, 0.01, 0.0, 0.08)"
0.0,0.01,0.01,0.0,4.2216,4.4466,"q=(0.0, 0.01, 0.01, 0.0)"
0.0,0.01,0.01,0.01,4.1052,4.5424,"q=(0.0, 0.01, 0.01, 0.01)"
0.0,0.01,0.01,0.02,4.1009,4.5006,"q=(0.0, 0.01, 0.01, 0.02)"
0.0,0.01,0.01,0.03,4.0382,4.6435,"q=(0.0, 0.01, 0.01, 0.03)"
0.0,0.01,0.01,0.04,3.99,4.7507,"q=(0.0, 0.01, 0.01, 0.04)"
0.0,0.01,0.01,0.05,3.8751,4.7798,"q=(0.0, 0.01, 0.01, 0.05)"
0.0,0.01,0.01,0.06,3.7478,4.7904,"q=(0.0, 0.01, 0.01, 0.06)"
0.0,0.01,0.01,0.07,3.7376,4.9468,"q=(0.0, 0.01, 0.01, 0.07)"
0.0,0.01,0.01,0.08,3.8207,4.8765,"q=(0.0, 0.01, 0.01, 0.08)"
0.0,0.01,0.02,0.0,3.9993,4.5647,"q=(0.0, 0.01, 0.02, 0.0)"
0.0,0.01,0.02,0.01,4.129,4.6107,"q=(0.0, 0.01, 0.02, 0.01)"
0.0,0.01,0.02,0.02,4.0889,4.575,"q=(0.0, 0.01, 0.02, 0.02)"
0.0,0.01,0.02,0.03,3.832,4.7731,"q=(0.0, 0.01, 0.02, 0.03)"
0.0,0.01,0.02,0.04,3.9894,4.7153,"q=(0.0, 0.01, 0.02, 0.04)"
0.0,0.01,0.02,0.05,4.0009,4.8794,"q=(0.0, 0.01, 0.02, 0.05)"
0.0,0.01,0.02,0.06,3.8451,4.8223,"q=(0.0, 0.01, 0.02, 0.06)"
0.0,0.01,0.02,0.07,3.7177,4.8487,"q=(0.0, 0.01, 0.02, 0.07)"
0.0,0.01,0.02,0.08,3.6187,5.0494,"q=(0.0, 0.01, 0.02, 0.08)"
0.0,0.01,0.03,0.0,4.0295,4.6147,"q=(0.0, 0.01, 0.03, 0.0)"
0.0,0.01,0.03,0.01,3.9211,4.6621,"q=(0.0, 0.01, 0.03, 0.01)"
0.0,0.01,0.03,0.02,3.8213,4.8149,"q=(0.0, 0.01, 0.03, 0.02)"
0.0,0.01,0.03,0.03,3.7808,4.7614,"q=(0.0, 0.01, 0.03, 0.03)"
0.0,0.01,0.03,0.04,3.8549,4.789,"q=(0.0, 0.01, 0.03, 0.04)"
0.0,0.01,0.03,0.05,3.7915,4.8644,"q=(0.0, 0.01, 0.03, 0.05)"
0.0,0.01,0.03,0.06,3.7026,4.8519,"q=(0.0, 0.01, 0.03, 0.06)"
0.0,0.01,0.03,0.07,3.6315,5.1334,"q=(0.0, 0.01, 0.03, 0.07)"
0.0,0.01,0.03,0.08,3.7032,4.989,"q=(0.0, 0.01, 0.03, 0.08)"
0.0,0.01,0.04,0.0,4.1069,4.5731,"q=(0.0, 0.01, 0.04, 0.0)"
0.0,0.01,0.04,0.01,3.8841,4.747,"q=(0.0, 0.01, 0.04, 0.01)"
0.0,0.01,0.04,0.02,3.9165,4.6952,"q=(0.0, 0.01, 0.04, 0.02)"
0.0,0.01,0.04,0.03,3.7687,4.8198,"q=(0.0, 0.01, 0.04, 0.03)"
0.0,0.01,0.04,0.04,3.6729,4.939,"q=(0.0, 0.01, 0.04, 0.04)"
0.0,0.01,0.04,0.05,3.5742,4.9733,"q=(0.0, 0.01, 0.04, 0.05)"
0.0,0.01,0.04,0.06,3.7069,4.9675,"q=(0.0, 0.01, 0.04, 0.06)"
0.0,0.01,0.04,0.07,3.6823,5.0887,"q=(0.0, 0.01, 0.04, 0.07)"
0.0,0.01,0.04,0.08,3.6006,5.0577,"q=(0.0, 0.01, 0.04, 0.08)"
0.0,0.01,0.05,0.0,3.8422,4.7122,"q=(0.0, 0.01, 0.05, 0.0)"
0.0,0.01,0.05,0.01,3.8794,4.8447,"q=(0.0, 0.01, 0.05, 0.01)"
0.0,0.01,0.05,0.02,3.6776,4.8253,"q=(0.0, 0.01, 0.05, 0.02)"
